empty_count,longitude,latitude
3,30.44631520084951,50.49739848764758
23,30.55450875317351,50.48699822781077
32,30.57018974642445,50.4809019866618
38,30.48557245952353,50.45152202502451
14,30.40330408173437,50.51758119432271
1,30.43702382667594,50.47538809711423
48,30.50105601961634,50.51302195130283
26,30.64379225614062,50.51743075371892
42,30.60532780996055,50.51811684037914
35,30.51498264364726,50.43247104404626
30,30.57653987884343,50.48504648590067
36,30.53711446800555,50.51343896011059
30,30.46735106479638,50.51617108316821
14,30.44906481996527,50.46332359791211
6,30.51699475522181,50.40033124319416
11,30.52188153162386,50.44117072289518
16,30.44741769616232,50.51678933667628
20,30.42240701073281,50.4040298141349
23,30.40799429845475,50.51109629264399
35,30.62388069678791,50.51043281446332
11,30.48747565922607,50.47954975935955
37,30.46371089613847,50.47964408933869
45,30.57264041055808,50.42222562375468
30,30.63579896694647,50.50541834833761
3,30.441255991026,50.4816922710973
7,30.41637327646271,50.44517962819716
29,30.50415375452793,50.51054548156521
21,30.53669127170967,50.49512562271779
45,30.40962624861046,50.43125301529114
18,30.61229514957849,50.480014470453
25,30.64726778234774,50.42044838544456
33,30.47300572659226,50.48050967447397
17,30.63845207788922,50.43087502971992
0,30.43606161589509,50.40440555100276
8,30.56251329377826,50.44381638962704
38,30.52709844854446,50.47092531443844
26,30.56844855424279,50.4057501072537
50,30.60291323142598,50.40545575322359
17,30.4232977166881,50.48789460184808
38,30.47992521928327,50.50968930819841
34,30.56382388680047,50.44854722016915
41,30.47999532109881,50.5125916457797
18,30.41016431191765,50.4735103512371
16,30.40819216302678,50.4988643285218
17,30.40485569349379,50.5147244823895
10,30.61976182946685,50.48400116500237
3,30.63063505397722,50.44947792870287
1,30.46331135857612,50.48331744980734
2,30.43261219831654,50.41319458957931
7,30.45435547019015,50.4861625570703
3,30.46993232423429,50.42833464803785
23,30.44889231570689,50.41719639238681
4,30.52441515903861,50.40114757866632
38,30.55150082019929,50.40269076127434
13,30.63971123564299,50.41157119300016
22,30.62818125645695,50.45053239782386
49,30.55952773038847,50.44593102149169
16,30.43177951759885,50.42927820162555
46,30.56171908733186,50.43468887722966
29,30.60913097006559,50.44616146072542
46,30.52744411331715,50.48970596022076
29,30.56011199743593,50.42528497509068
20,30.57948601817179,50.5119268819322
5,30.52546705946968,50.50967641480436
21,30.45072004125969,50.46877545181955
31,30.40231073749662,50.46733027811675
37,30.60143520713408,50.51851188625585
41,30.51207146874819,50.43462129815404
45,30.43501390992353,50.47653089071678
14,30.49718598862176,50.48191064622279
20,30.55292491077274,50.50874275123723
43,30.58186535798314,50.42663679234965
19,30.61998637292199,50.4662732144387
33,30.42577427165499,50.50498532937966
7,30.5643929296682,50.51646540593621
10,30.52218603904867,50.49471453949708
22,30.48849032962565,50.44049599879341
22,30.4912768037793,50.46986339194952
31,30.49829322175869,50.49295508817422
28,30.55985857609934,50.47429743753573
42,30.6405179636421,50.44982191670607
23,30.64259757102571,50.40105806785341
28,30.40876456640837,50.40316503772863
45,30.49613581186603,50.43898511980284
46,30.42010368924293,50.4535774884172
5,30.63861946265413,50.40500860508986
2,30.43894723162983,50.45625266722817
10,30.59450983492094,50.41315884035163
39,30.6302120583643,50.43717830384328
25,30.47159498058482,50.48285861162924
27,30.57242928981949,50.49753213953257
1,30.45129129686711,50.48433984440047
22,30.42941691525357,50.45895587099324
34,30.48272998319199,50.4141510046912
45,30.64366392414955,50.45299840103156
50,30.64631769873792,50.51027037889762
15,30.52292922639548,50.42343944494137
20,30.43191833072212,50.43103809822081
13,30.43798561659114,50.50909669803578
50,30.456302787053,50.44754236092421
4,30.52147057117995,50.42975495014623
34,30.47585779153126,50.45349775820327
16,30.54680098794542,50.475362210374
30,30.46126118379902,50.51461162769389
32,30.47813889398814,50.42161947053791
10,30.48494105961493,50.40592153255891
7,30.60802441125144,50.49358685401684
39,30.51785093077538,50.49215806833255
21,30.5359690385108,50.47189626922389
24,30.42195495934348,50.43813857727545
12,30.63659340168068,50.44964667555169
45,30.4948880730891,50.41625778472046
4,30.55675954300811,50.46174839742341
48,30.63674394003699,50.45658849559816
41,30.64836462800776,50.4467034051662
46,30.45259616905997,50.47521998147568
33,30.57933981030025,50.50877350166341
50,30.52223053823571,50.4758121649793
6,30.50535214123618,50.50638781703387
13,30.55675696223699,50.43186055473003
6,30.4637748879401,50.51352132932833
2,30.57142484805523,50.49909457083116
37,30.50217035106651,50.45181016972295
41,30.45282448250929,50.41278420719522
39,30.54427670865487,50.46183457852937
47,30.48640479840959,50.41454933730707
33,30.52598064038008,50.45845386906085
23,30.57334901811209,50.47128164068414
46,30.56499518573267,50.46490906440327
28,30.50407279985775,50.45091011372894
12,30.54769230463546,50.45418211210017
34,30.49775133231566,50.48461020898092
39,30.53117251051806,50.50734122605181
21,30.64644302176773,50.47551450188028
5,30.62226438780653,50.41767651656851
21,30.63537096967336,50.49399981435975
4,30.58435310204803,50.5080216103213
14,30.5717358998631,50.44893373033537
2,30.57559797100465,50.47922582261518
11,30.51937393580344,50.43421024789157
25,30.53129791406906,50.49041488304495
32,30.46746297450374,50.42498834514861
28,30.51111289420761,50.44195732183937
0,30.46264060843493,50.49647708079743
50,30.58010834277048,50.45655963110683
30,30.49498843498399,50.45823574829845
41,30.43253631873265,50.50595736197682
20,30.64823225593538,50.47571898437367
8,30.40742162574716,50.50803219780362
44,30.41709176032404,50.47178897293338
